,종류,지역,위도,경도
0,solar,제주시 구좌읍,33.51662,126.81055
1,solar,제주시 회천동,33.4956,126.61479
2,solar,제주시 한경면,33.3305,126.21066
3,solar,제주시 한경면,33.3305,126.21066
4,solar,제주시 구좌읍,33.51662,126.81055
5,solar,제주시 한경면,33.3305,126.21066
6,solar,제주시 한경면,33.3305,126.21066
7,solar,제주시 한경면,33.3305,126.21066
8,solar,제주시 조천읍,33.50888,126.66305
9,solar,서귀포시 성산읍,33.41805,126.88147
10,solar,제주시 애월읍,33.45079,126.3752
11,solar,제주시 한경면,33.3305,126.21066
12,solar,제주시 한경면,33.3305,126.21066
13,solar,제주시 애월읍,33.45079,126.3752
14,solar,제주시 한림읍,33.39344,126.26684
15,solar,제주시 조천읍,33.50888,126.66305
16,solar,제주시 한경면,33.3305,126.21066
17,solar,제주시 한경면,33.3305,126.21066
18,solar,서귀포시 안덕면,33.27688,126.34925
19,solar,서귀포시 안덕면,33.27688,126.34925
20,solar,서귀포시 성산읍,33.41805,126.88147
21,solar,제주시 조천읍,33.50888,126.66305
22,solar,제주시 한경면,33.3305,126.21066
23,solar,제주시 삼양일동,33.52345,126.599
24,solar,서귀포시 남원읍,33.3076683,126.6907475
25,solar,서귀포시 표선면,33.3504543,126.794049
26,solar,제주시 한경면,33.3305,126.21066
27,solar,제주시 애월읍,33.45079,126.3752
28,solar,서귀포시 성산읍,33.41805,126.88147
29,solar,서귀포시 성산읍,33.41805,126.88147
30,solar,제주시 애월읍,33.45079,126.3752
31,solar,제주시 애월읍,33.45079,126.3752
32,solar,서귀포시 성산읍,33.41805,126.88147
33,solar,서귀포시 성산읍,33.41805,126.88147
34,solar,서귀포시 성산읍,33.41805,126.88147
35,solar,서귀포시 표선면,33.3504543,126.794049
36,solar,서귀포시 표선면,33.3504543,126.794049
37,solar,서귀포시 표선면,33.3504543,126.794049
38,solar,서귀포시 표선면,33.3504543,126.794049
39,solar,서귀포시 표선면,33.3504543,126.794049
40,solar,서귀포시 표선면,33.3504543,126.794049
41,solar,서귀포시 표선면,33.3504543,126.794049
42,solar,제주시 애월읍,33.45079,126.3752
43,solar,제주시 애월읍,33.45079,126.3752
44,solar,서귀포시 성산읍,33.41805,126.88147
45,solar,제주시 애월읍,33.45079,126.3752
46,solar,서귀포시 표선면,33.3504543,126.794049
47,solar,서귀포시 표선면,33.3504543,126.794049
48,solar,제주시 구좌읍,33.51662,126.81055
49,solar,서귀포시 성산읍,33.41805,126.88147
50,solar,서귀포시 성산읍,33.41805,126.88147
51,solar,서귀포시 성산읍,33.41805,126.88147
