발전소명,설비용량,설치장소,원동력종류,상태,사업개시일,데이터기준일자
북촌○○,3000,제주특별자치도 제주시 조천읍,풍력,사업개시,2020-07-31,2023-02-21
동복○○,2000,제주특별자치도 제주시 구좌읍,풍력,사업개시,2017-12-01,2023-02-21
수망○○,25200,제주특별자치도 서귀포시 남원읍,풍력,사업개시,2020-06-29,2023-02-21
동복○○,30000,제주특별자치도 제주시 구좌읍,풍력,사업개시,2015-08-01,2023-02-21
상명○○,21000,제주특별자치도 제주시 한림읍,풍력,사업개시,2016-08-22,2023-02-21
월정○○,3000,제주특별자치도 제주시 구좌읍,풍력,사업개시,2015-02-06,2023-02-21
에스○○,30000,제주특별자치도 서귀포시 표선면,풍력,사업개시,2015-01-14,2023-02-21
행원○○,660,제주특별자치도 제주시 구좌읍 해맞이해안로,풍력,사업개시,2013-06-24,2023-02-21
제주○○,30000,제주특별자치도 제주시 구좌읍,풍력,사업개시,2015-06-01,2023-02-21
김녕○○,11000,제주특별자치도 제주시 구좌읍 해맞이해안로,풍력,사업개시,2014-06-10,2023-02-21
행원○○,2000,제주특별자치도 제주시 구좌읍,풍력,사업개시,2013-03-28,2023-02-21
행원○○,8630,제주특별자치도 제주시 구좌읍 해맞이해안로,풍력,사업개시,2000-04-05,2023-02-21
행원○○,3000,제주특별자치도 제주시 구좌읍,풍력,사업개시,2014-02-26,2023-02-21
가시○○,15000,제주특별자치도 서귀포시 표선면,풍력,사업개시,2012-03-13,2023-02-21
성산○○,20000,제주특별자치도 서귀포시 성산읍,풍력,사업개시,2009-03-30,2023-02-21
김녕○○,750,제주특별자치도 제주시 구좌읍,풍력,사업개시,2010-04-02,2023-02-21
삼달○○,33000,제주특별자치도 서귀포시 성산읍,풍력,사업개시,2009-10-21,2023-02-21
한경○○,21000,제주특별자치도 제주시 한경면,풍력,사업개시,2004-02-28,2023-02-21
제주○○,2000,제주특별자치도 제주시 한림읍,풍력,사업개시,2010-05-31,2023-02-21
탐라○○,30000,제주특별자치도 제주시 한경면,풍력,사업개시,2017-09-16,2023-02-21
신창○○,1700,제주특별자치도 제주시 한경면,풍력,사업개시,2006-03-03,2023-02-21
제주○○,1500,제주특별자치도 제주시 구좌읍,풍력,사업개시,2006-07-20,2023-02-21
